,,,GA,,,OR,,,
,,,weight,value,time,weight,value,time
00Uncorrelated
,n00050
,,R01000,14526,20910,0.24,14721,20995,0.0
,,R10000,147639,213416,0.23,147083,209818,0.0
,n00100
,,R01000,22464,28281,0.7,22519,46537,0.0
,,R10000,224620,303186,0.74,225212,465424,0.0
,n00200
,,R01000,50306,62836,0.29,50302,84317,0.0
,,R10000,502592,627893,0.29,502608,843127,0.0
,n00500
,,R01000,118678,132286,0.7,118693,207992,0.0
,,R10000,1185769,1339827,0.61,1185802,2078639,0.0
,n01000
,,R01000,252411,292311,1.05,252480,400811,0.0
,,R10000,2521766,2920683,1.04,2522529,4005798,0.0
,n02000
,,R01000,502713,550353,2.12,502731,808902,0.02
,,R10000,5022715,5506085,2.15,5023024,8084297,0.02
,n05000
,,R01000,1231656,1269169,5.45,1231707,2041002,0.13
,,R10000,12305154,12810472,5.55,12305918,20398463,0.14
,n10000
,,R01000,2478750,2561624,11.69,2478760,4052367,0.51
,,R10000
